id_site,code_presentation,code_module,activity_type
546943,2013J,AAA,content
546712,2013J,AAA,content
546998,2013J,AAA,content
546888,2013J,AAA,url
547035,2013J,AAA,content
546614,2013J,AAA,homepage
546897,2013J,AAA,url
546678,2013J,AAA,content
546933,2013J,AAA,content
546708,2013J,AAA,content
546995,2013J,AAA,content
546884,2013J,AAA,url
547031,2013J,AAA,content
546891,2013J,AAA,url
546675,2013J,AAA,content
546927,2013J,AAA,content
546705,2013J,AAA,content
546991,2013J,AAA,content
547027,2013J,AAA,content
546671,2013J,AAA,content
546923,2013J,AAA,content
546702,2013J,AAA,content
546988,2013J,AAA,content
547024,2013J,AAA,content
546668,2013J,AAA,content
546920,2013J,AAA,content
546699,2013J,AAA,content
546985,2013J,AAA,content
546739,2013J,AAA,content
547021,2013J,AAA,content
546665,2013J,AAA,content
546917,2013J,AAA,content
546695,2013J,AAA,content
546982,2013J,AAA,content
546736,2013J,AAA,content
547018,2013J,AAA,content
546661,2013J,AAA,glossary
546692,2013J,AAA,content
546972,2013J,AAA,content
546733,2013J,AAA,content
547014,2013J,AAA,content
546658,2013J,AAA,forum
546914,2013J,AAA,content
546689,2013J,AAA,content
546968,2013J,AAA,content
546728,2013J,AAA,content
547011,2013J,AAA,content
547066,2013J,AAA,forum
546655,2013J,AAA,forum
546910,2013J,AAA,content
546686,2013J,AAA,content
546961,2013J,AAA,content
546723,2013J,AAA,content
547007,2013J,AAA,content
546652,2013J,AAA,forum
546906,2013J,AAA,content
546954,2013J,AAA,content
546717,2013J,AAA,content
547004,2013J,AAA,content
547042,2013J,AAA,content
546649,2013J,AAA,forum
546903,2013J,AAA,url
546683,2013J,AAA,content
546948,2013J,AAA,content
546714,2013J,AAA,content
547001,2013J,AAA,content
547037,2013J,AAA,content
546645,2013J,AAA,forum
546899,2013J,AAA,url
546680,2013J,AAA,content
546942,2013J,AAA,content
546711,2013J,AAA,content
546997,2013J,AAA,content
546887,2013J,AAA,url
547034,2013J,AAA,content
546896,2013J,AAA,url
546677,2013J,AAA,content
546930,2013J,AAA,content
546707,2013J,AAA,content
546994,2013J,AAA,content
546883,2013J,AAA,url
547030,2013J,AAA,content
546890,2013J,AAA,url
546674,2013J,AAA,content
546925,2013J,AAA,content
546704,2013J,AAA,content
546990,2013J,AAA,content
547026,2013J,AAA,content
546670,2013J,AAA,content
546922,2013J,AAA,content
546701,2013J,AAA,content
546987,2013J,AAA,content
547023,2013J,AAA,content
546667,2013J,AAA,content
546919,2013J,AAA,content
546697,2013J,AAA,content
546984,2013J,AAA,content
546738,2013J,AAA,content
547020,2013J,AAA,content
546664,2013J,AAA,content
546694,2013J,AAA,content
546975,2013J,AAA,content
546735,2013J,AAA,content
547017,2013J,AAA,content
546660,2013J,AAA,glossary
546916,2013J,AAA,content
546691,2013J,AAA,content
546971,2013J,AAA,content
546732,2013J,AAA,content
547013,2013J,AAA,content
546657,2013J,AAA,forum
546913,2013J,AAA,content
546688,2013J,AAA,content
546966,2013J,AAA,content
546726,2013J,AAA,content
547009,2013J,AAA,content
546654,2013J,AAA,forum
546909,2013J,AAA,content
546685,2013J,AAA,content
546960,2013J,AAA,content
546721,2013J,AAA,content
547006,2013J,AAA,content
546651,2013J,AAA,forum
546905,2013J,AAA,url
546952,2013J,AAA,content
546716,2013J,AAA,content
547003,2013J,AAA,content
547040,2013J,AAA,content
546648,2013J,AAA,forum
546901,2013J,AAA,url
546682,2013J,AAA,content
546947,2013J,AAA,content
546713,2013J,AAA,content
547000,2013J,AAA,content
546889,2013J,AAA,url
547036,2013J,AAA,content
546644,2013J,AAA,forum
546898,2013J,AAA,url
546679,2013J,AAA,content
546935,2013J,AAA,content
546709,2013J,AAA,content
546996,2013J,AAA,content
546885,2013J,AAA,url
547032,2013J,AAA,content
546894,2013J,AAA,url
546676,2013J,AAA,content
546928,2013J,AAA,content
546706,2013J,AAA,content
546992,2013J,AAA,content
547028,2013J,AAA,content
546672,2013J,AAA,content
546924,2013J,AAA,content
546703,2013J,AAA,content
546989,2013J,AAA,content
547025,2013J,AAA,content
546669,2013J,AAA,content
546921,2013J,AAA,content
546700,2013J,AAA,content
546986,2013J,AAA,content
546740,2013J,AAA,content
547022,2013J,AAA,content
546666,2013J,AAA,content
546918,2013J,AAA,content
546696,2013J,AAA,content
546983,2013J,AAA,content
546737,2013J,AAA,content
547019,2013J,AAA,content
546662,2013J,AAA,content
546693,2013J,AAA,content
546974,2013J,AAA,content
546734,2013J,AAA,content
547015,2013J,AAA,content
546659,2013J,AAA,forum
546915,2013J,AAA,content
546690,2013J,AAA,content
546970,2013J,AAA,content
546731,2013J,AAA,content
547012,2013J,AAA,content
547067,2013J,AAA,forum
546656,2013J,AAA,forum
546911,2013J,AAA,content
546687,2013J,AAA,content
546965,2013J,AAA,content
546725,2013J,AAA,content
547008,2013J,AAA,content
546653,2013J,AAA,forum
546907,2013J,AAA,content
546955,2013J,AAA,content
546719,2013J,AAA,content
547005,2013J,AAA,content
547043,2013J,AAA,content
546650,2013J,AAA,forum
546904,2013J,AAA,url
546684,2013J,AAA,content
546949,2013J,AAA,content
546715,2013J,AAA,content
547002,2013J,AAA,content
547038,2013J,AAA,content
546647,2013J,AAA,forum
546900,2013J,AAA,url
546681,2013J,AAA,content
